From: @jairbolsonaro,Data publicação,Link
" UM FORTE ABRAÇO A TODOS OS BRASILEIROS! 
- DEUS NOS ABENÇOE!

. JAIR BOLSONARO 1️⃣7️⃣ 🇧🇷

. Link de nossos candidatos pelo Brasil. https://bolsonaro.com.br/vote",06/10/2018,https://twitter.com/jairbolsonaro/status/1048764677445111809?s=20
"Acabamos de fazer uma ligação via Skype entre o Professor 
@OdeCarvalho
 , 
@filgmartin
 e 
@CarlosBolsonaro
 num breve bate papo sobre os rumos do Brasil! 👍🏻! Muitos outros virão, se Deus quiser!",17/10/2018,https://twitter.com/jairbolsonaro/status/1052703230197526528?s=20
"Infelizmente minha saúde não permite participar de atos públicos. Há cerca de um mês sofri uma tentativa de assassinato por um ex-militante do PSOL. Porém, estou acompanhando os atos e meu coração está com todos vocês! Muito obrigado e que Deus os abençoe! #NasRuasComBolsonaro",21/10/2018,https://twitter.com/jairbolsonaro/status/1054027885235834882?s=20
"Estamos iniciando a última semana a caminho de, se Deus quiser, nossa nova Independência! Vamos tirar o Brasil do vermelho e devolvê-lo aos brasileiros! 🇧🇷",22/10/2018,https://twitter.com/jairbolsonaro/status/1054350557090070531?s=20
"Muito obrigado aos jovens goianos! Você são o futuro. BRASIL ACIMA DE TUDO, DEUS ACIMA DE TODOS! Um forte abraço!",26/10/2018,https://twitter.com/jairbolsonaro/status/1055935082215694337?s=20
"Falta pouco para conquistarmos nossa nova independência; o 1• passo rumo ao país da justiça, do emprego, segurança e da liberdade. Peço, de coração, que continuem engajados, mostrando que temos a melhor proposta até o fim e encarando as mentiras de meu opositor! Fiquem com Deus!",26/10/2018,https://twitter.com/jairbolsonaro/status/1055982222921158656?s=20
"Se for da vontade de Deus, amanhã será o dia de nossa nova independência. Vamos derrotar o partido dos maiores escândalos de corrupção da história, do Petrolão, do Mensalão, do Foro de SP, dos inimigos da liberdade e da Constituição! Devolveremos o Brasil aos brasileiros de bem!",27/10/2018,https://twitter.com/jairbolsonaro/status/1056319135720837126?s=20
"Depois de décadas, o Brasil finalmente tem a chance de eleger um presidente que carrega verdadeiramente os valores dos Brasileiros. Vamos juntos mudar os rumos da nossa nação! Vamos votar Jair Bolsonaro presidente 17! Um forte abraço a todos e até a vitória, se Deus quiser!",27/10/2018,https://twitter.com/jairbolsonaro/status/1056348052624158721?s=20
"ATÉ A VITÓRIA, SE DEUS QUISER! 🇧🇷🇧🇷🇧🇷🇧🇷",27/10/2018,https://twitter.com/jairbolsonaro/status/1056349605582045184?s=20
"Agradeço a todos que me enviaram lembranças das mais variadas, símbolo da esperança depositada no futuro governo. Que Deus nos abençoe! Um forte abraço a todos!
",12/11/2018,https://twitter.com/jairbolsonaro/status/1062005995864494082?s=20
"Graças a Deus temos a internet para ter informação e desenvolvimento!
",17/11/2018,https://twitter.com/jairbolsonaro/status/1063772237621280768?s=20
Lamento a ausência na Cerimônia de Declaração de Novos Aspirantes da Força Aérea Brasileira! Cumprimento os formandos e suas respectivas famílias e lhes desejo continuados êxitos e novas conquistas! Brasil acima de tudo; Deus acima de todos! 🇧🇷,07/12/2018,https://twitter.com/jairbolsonaro/status/1071029525893537792?s=20
Meus parabéns aos novos declarados Guardas-Marinha neste 8 de dezembro de 2018. Um forte abraço e que Deus abençoe vocês e suas famílias! 🇧🇷,08/12/2018,https://twitter.com/jairbolsonaro/status/1071467201251733513?s=20
"Como sempre tenho dito, encaro esta etapa de minha vida como uma missão de Deus. Faremos o possível para dar à nossa nação um futuro com dias melhores. Brasil acima de tudo; Deus acima de todos! 🇧🇷",10/12/2018,https://twitter.com/jairbolsonaro/status/1072208954913120256?s=20
"Ontem, em Guaratinguetá-SP, na formatura dos Sargentos da Aeronáutica, na Escola de Especialistas (EEAR). Hoje, em Resende-RJ, parabenizo os mais de 420 Aspirantes-a-Oficial formandos na Academia Militar das Agulhas Negras (AMAN). Brasil Acima de Tudo! Deus Acima de Todos! 🇧🇷",11/12/2018,https://twitter.com/jairbolsonaro/status/1068874487272222720?s=20
"É surreal e extremamente vergonhoso ver setores da grande mídia debocharem do relato da futura Ministra Damares Alves sobre a fé em Jesus Cristo, que a livrou de um suicídio desejado por conta de abusos sofridos na infância. Lamentável!",13/12/2018,https://twitter.com/jairbolsonaro/status/1073276458448117761?s=20
